symbol,example,class
ch,church,consonant
g,game,consonant
h,hat,consonant
hw,which,consonant
j,judge,consonant
k,kick,consonant
ŋ,thing,consonant
s,sauce,consonant
sh,ship,consonant
th,thin,consonant
y,yes,consonant
zh,vision,consonant
a,cat,vowel
ā,day,vowel
er,hair,vowel
ä,father,vowel
e,let,vowel
ē,see,vowel
ir,here,vowel
i,pit,vowel
ī,by,vowel
ä,pot,vowel
ō,no,vowel
ȯ,caught,vowel
ȯi,noise,vowel
u̇,took,vowel
u̇r,tour,vowel
ü,soon,vowel
au̇,out,vowel
ə,cut,vowel
ər,word,vowel
ə,about,vowel
yü,view,vowel
b,bed,consonant
d,dog,consonant
f,face,consonant
l,let,consonant
m,moon,consonant
n,no,consonant
p,pop,consonant
r,red,consonant
t,tea,consonant
v,voice,consonant
w,with,consonant
z,zoo,consonant
